dato de ingreso|dato de salida
"Estasta es una casa bonita."|true
esta es una casa fea|false
Este texto va a tener más de 500 caracteres 2wwwwwwww2wwwwwwwssswwhhjjjjjhhkhsguugahhjsishsjskshsudnrfjfifkkkkjhhhhhhhhhhhhhjjjhjjjjjkkkkkjjjjjjjjjhhhggfffhjjgffggghjjjhgfdddddddddddddddf.|false
La casaCamina|false
tu-sabes|false
Tu sabes.|true
"Ydnfdkjfhdkfghf,dgfdflffgyrfybgfdhgfdgffdfkdskpioiei3eklrñlgtkrpotrreprio"|false
Hola mi nombre es james y te apuesto un computador a que tu duermes en la noche.|true
quien lleno esto que rayos pensaba DIOS.|false
Andres es un genio de la programacion pero es muy desorganizado.|true
El ingeniero oscar es un gran ser humano.|true
"Comprender textos en inglés en forma escrita y auditiva."|true
"Promover la interacción idónea consigo mismo, con los demás y con la naturaleza en los contextos laboral y social."|true
